,Anime_Name,Number of Videos Aired,Link,Reviews,Polarity Score,Sentiment
0,RADIANT,31 Videos,https://www.crunchyroll.com/radiant,Read the Manga if you want the FULL experience of Radiant Short and Sweet Review The first three episodes were promising Little skeptical at first but highly enjoyable after Gets Better Further On Great show needs more stars Decent but nothing Unique Overall pretty good fun watch The last chaps are 10 Takes a bit to get going but it is badasssssss  Hopeful for 2nd season to continue faster If anyone watched fma brotherhood and liked it its show for you Could Be A Lot Better Radiant is Radiant just as Grimm is Grimm Very enjoyable fun show Its fun nothing more nothing lesswhy i dont get it just adapt the damn manga page for page the black clover anime is better than this pile of whatever it is Doesnt capture the full story or tone of the mangaThe next big thing!! Review based on Episode 1 its naruto but worse FIRST Review ever Very watchable great visuals It gets better trust me A boy and his friends go hot air ballooning The Progression of Radiant Better than Black Clover Was curious for a new anime to watch Definitely Worth it No sense in fixing what aint (all the way) broke Inverse Black Clover in a way My personal view on Radiant Nothing Wrong With This Anime  Its Great! Good Not Great But Thats OkayWTF! Just on animation decent action nothing else It gets better as you go definition of meh Just another generic shounen (Quick review) Kinda Boring and generic Really liking it so far Episodes 14 Watch the First 3 Episodes Interesting first steps For those you like one piece or fairy tail Well I meanits something Its not that bad manAwesome Animation and Character Designs Give it a chance! (psst Its worth it)Skip this show its generic Find out how in my description of the show A Generic But Well Constructed Shoenen First episode impression A meandering story from one point to another Had potential at first but loops with filler and pointless tasks Just a worse version of Black Clover looking pretty good! This anime went nowhere real fast Its Like Fairy Tail but With less CleavageMost of the onestar reviews are premature great show !!!!!!!!!! I LOVE IT LOVE IT LOVE IT! Didnt read the manga  butFun series to get started on! I really like this show! cute fun show beautifully drawn Terrible Awful No An Anime like a Wind Hunter x hunter clone but still good anyways Its fun exciting and pretty shonen animeOne Amazing Showww  w Radiant might be my next favorite Interesting Worldbuilding; but it could have done more Not exactly revolutionary but definitely enjoyable For shounen anime its goodI find this show to put off a nice vibe 3 Episodes watched so cliche it hurts to watch Reminds Me Of Hunter x Hunter First Episode Review (Good but not enough to stand out) Episode Zero  Because nothing much happens Read the manga if you want manga Its that simpleThis show is so poorly written and anyone who says otherwise is a simpleton Another great title! Amazingly Great Fantasy Leftist propaganda from a french comic disguised as anime Youll find out near the end it was all for notep 13 Radiant shows its true colors Has a lot of potentialgreat show The characters suck but it has potential This anime is so bad and it only has 2 episodes so far I want my 10 minutes back,0.19750823451910415,Mixed Reviews
1,BORUTO: NARUTO NEXT GENERATIONS,134 Videos,https://www.crunchyroll.com/boruto-naruto-next-generations,If Boruto follows Naruto in terms of episodes there will be 499 more episodes to go which is 9 and a half years Get comfy guys Why Boruto feels forced I just cant watch it anymore Same bs at naruto but worse Mehs all around Say no to Clones I gave it a try but Boruto is a waste of time feels like a cartoon  i guess thats okay An Emberassment to the Naruto Series Naruto father figure When will anything happen Allow me to explain why I dont like this animenothing but fillers This isnt Real This must be the Infinite Tsukuyomi Give it a try thats all you can do! (｡◕‿◕｡)I want to give positive review but could not find one Got to episode 103 and couldt go any furtherNaruto as an Absent Father Really fun and easygoing show A sub par continuation Boruto the anime AKA the sad butchering of a great story Filler City  Boruto Series I really didnt enjoy this im just sad Boruto is supreme Garbo nope nope nope nope nope its like dragonball gtBORUTO IS NOW 115 EPISODES IN AND ONLY ABOUT 14 ARE CANONWTF!!! Horrible Show & Filler Fest Is it ever gonna get better Shits ass boruto will never progress as a series Waste of Time! There are other quality anime that you could watch instead of wasting your time on this HOGWASH! Big Naruto fan but this is a swing and a miss Has Potential but the whole story lacks plot How is the the next generation The Show With Potential Terrible start but definintely starting to get good Naruto Denial Anime PG Rating Honestly Boruto has alot of potential! Very relatable and heartwarming A lot of potential is here This is a solid 25! How many times can we fit Chocho into the STory Boruto is a Slice of life Anime writers are high i think Garbage in everyway possible Boruto a tale of lost potential Fillers upon Fillers Filler central way to slow einfach nur filler mehr nicht 97 Episodes in and Im doneCaters to a younger audience Slow and Boring  Needs More Action its crazy how bad it is fr its butthole More annoying than Astas yellWhat is this exactly Contains a lot of trash fillers and irrelevant characters Boruto is so garbage for real Why would I bother  Boruto  a disappointment please at least try a little bit This show is bad and not worth watching The anime is becoming great give it a chance 100% Not Naruto In Any Way This ruined the naruto franchise for me Bad spin off very childish This is a stupid joke Just disappointing Wish I could give zero stars Trash  I did not ask for a Naruto Reanimation 100% Copied over Reduce Reuse recycled Cash grab click bait Destroyed What You Created Boruto: a fun and colorful look at the shinobi world Clearly a Cash Grab ! ! ! I would love to see the series flourish ❤️ Its finally happenedWatered down in everyway Very nice anime llll T_T how sad is this Its pretty simple The overshadowing of Naruto and its GodsThe problems with Boruto,-0.028265575273280736,Negative Reviews
2,Naruto Shippuden,500 Videos,https://www.crunchyroll.com/naruto-shippuden,Sorry Naruto you deserved better An amazing ride for years soon to end Naruto Shippuuden: Review There can never be one like it the show has bad filler Strong starter but very bad finisher A show about tenacity and progress Naruto: the epopee of our generation Filler w xtra filling What can I say about a show I have watched for over a decade feedup with the fillers!!!! Started well ended poorly Terrible filler ruins good series Flashback no jutsuuu shame to see it like this No point to start watching at this point Yo dawg I heard you like fillers so I put fillers inside your fillers This Show has gone to crap! this show is simply amazing Naruto is what got me hooked into anime The Anime that Got Me Into Anime Gotta Love Naruto!!! Top shelf anime Dattebayo! An Immerse World with Ninjas Its definitely not a bad show ButNothing Beats Naruto Shippuden A must watch for any human being Naruto was great since day 1! This anime is amazing A Truly Beautiful Story Naruto is the best anime show ever! Naruto Shippuden ROCKS! Naruto Patience Is A Virtue FILLER FILLER FILLER If the game comes out before the series end Naruto Fillerppuden :) Great Story but good show way to much filler Woe to Naruto! The great has fallen Naruto Anime < Naruto Manga Great series bad production fillerpuden review Far too many fillers to be enjoyable Enjoy the cannon stuff but the Filler takes this to one star REALLY HOW LONG ARE YOU PLANNING TO RUN THIS Done with Fillers at least build the characters we love and not introduce new ones of a new dimension unsatisfying to watch Really getting annoyed with the side stories The worst anime in existence Brilliant at the beginning but Naruto Shippuden is an amazing anime! Original Compared to Shippuden (Revised) Naruto Shippuden_Best Anime of All Times Naruto Shippden Delux ONE OF THE COOLEST ANIME The Best anime ever created! I love naruto shippuden!! :) Its an awesome anime! naruto shippudenan anime worth watching Naruto Shippuden: Its WatchableFillers galore!!!!!! Good up to the middle then bullshit Started off great faltered half ways through now being dragged through gravel + push tacks fillerplease stop the filler please i really like this anime but you guys make it really hard sometimes Shit Filler!!!!!!!!!! only deserves one star at this point Was amazing  but now its notMadara Genjutsu Affected the creators Being as fair as I can,0.26561275470219436,Mixed Reviews
3,JoJo's Bizarre Adventure,77 Videos,https://www.crunchyroll.com/jojos-bizarre-adventure,SONO CHI NO SADAME!! A faithful adaptation of a beloved classic One of the hypest animes Ive watched in a long timeFrom Baffled Outsider To Obsessed With The Bizarre 10 out of 10 series  can confirm If youre sitting on the fence you should just dive right inVeteran watcher totally in awe Not McDonalds goodShakespeare of Anime JoJos Bizarre ReviewORAORAORAORAORAORAORA jojo is love jojo is life The one to three star reviews dont understandMy name is Yoshikage Kira jojooooooooooooooooo You ever woke up from a three day bender where you used 10 kilos of assorted narcotics and drank your weight in 100 proof alcohol Jojo is a very fun show mudamudamudamudamuda Just a joke review but still watch the anime or read the manga WWWWWWRRRRRRRYYYYYYY With a name like JoJos Bizarre AdventuresLast year was the best year ever thanks to JOJO MUDAMUDAMUDAMUDAMUDA!! as good as all of your friends have told you hundreds of times PERFECT BIZARRE FANTASTIC YesYesYesYesYesYesYesYesYesYesYesYesYesYesYes My name is Yoshikage Kira Wait until at least episode 10 to judge JoJos Bizarre Adventure is the best (actionshonen) anime Turns out anime wasnt a mistakeGreatest manga of all time  finally animated Fortunate to discover What a beautiful Duwang The most bizarre fabulous fun you will ever have with an anime The JoJo Bloodline runs deep odd brilliance: jojo Jojos Bizarre Adventure Parts 13OraOraOraOraOraOraOraOraOra JOOOOOOOOOOOOOOOOOOOOOOOOOOOJOOOOOOOOOOOO so manyyy memeeeesssssss Very Very Straight Show Best anime and manga series I have ever seen Ora Ora Ora Ora Ora Ora Ora Ora Ora Ora Ora Ora ORA ORA ORA ORA ORA ORA ORA ORA ORA ORA ORA ORA BEST ANIME IVE EVER WATCHED!!MUDA10 I wake up Fridays feeling so horny! I challenge you to name a better show hckgckjgfjhfljhfljhfljhf JOJOS BIZARRE ADVENTUREHow Newcomers Should Watch This Anime It kept me absorbed throughout the entire series JJBA is unfathomably good One heck of a Shonen! The only exception Sooo glad Im watching itNever fails to entertain A cultural phenomenon that Incredible Inspires Manliness Its the perfect combination of posing and fighting JoJos Bizarre Adventure: Welcome to the fantastic world of Hirohito ArakiMANLY ANIME putting the spark back in my love for anime A long line of Machismo superheros One of The GOAT AnimesThe best Anime this season Get a feeling so complicated One of the best anime best piece of fiction out there its a yes from me (: I LOVE THIS!!!!!!!!! a must watch for anyone It Was A Golden Experience Watching This A Must watch In the shonen Genre Must see this masterpiece! The series that changed my life Watch this anime ASAP WHY ARE YOU EVEN READING REVIEWS STILL WATCH IT المغامرات العجيبة One of if not the best anime out there just the funnest most ridiculous series Beautiful piece of art A must watch 1010 It’s a great series but it’s an acquired taste Just watched all available episodes within 2 weeks Holy Moly Depressed Pony Eating Macaroni I dont want a titleYES YES YES YES YES YES God tier the pinnacle of entertainemnt A unique and timeless anime Came for the memes Stayed for the plot Vocal percussion on a whole nother level coming from my mind Literally a masterpiece yall should watch it Im obsessed Simply a masterpiece Jajas Kooky Quest to Italy JoJos Bizarre Adventure Is A MasterpieceBest anime ever dont @ me Best Show I’ve Ever Seen its pure Gold in the wind Unique Masterpiece Worth Watching ¨I will get inside you and then I will enjoy your mom¨,0.4017939814814815,Positive Reviews
4,DARLING in the FRANXX,120 Videos,https://www.crunchyroll.com/darling-in-the-franxx,A Unique and Telling Twist on Our Own Modern Relationships After episode 13 This show Is in my all time favortis Written in Response to Episode 1  It is worth a watch Hidden Beneath The Innuendos Dont be turned off Be turned onI like it a lot enough to rewatch multiple times! A dash of everything Great start Better Middle Bad Ending DISAPPOINTMENT in the FRANXX I CANT BREATH AAAAAAAAAA❤✔ Acceptance in the FranXX 1010 for the first 19 episodes 710 if you want to finish it DARLI_FRA wont hold your handAfter the fourth episode YES WATCH NOW More anime should be this playful I was promised Franks You mean Gurren Lagann 20 The plot meanders but the story is decent Evangelion meets Sailor Moon This Anime is Way More Than It Initially Lets On To Be ITS ALL A METAPHOR FOR SEX!Looks very promising One of the most satisfying anime I really love this show! Great start and wonderful animation!!!! (probably not very helpful) hey look at that something from Trigger Best Anime I Have Ever Watched a good show for alleven if you dont watch anime! I cant believe I waited so long to watch thisInstantly became my favourite show DARLING  WHY DID YOU MAKE ME CRY SO MUCH! Genuinely speechless WE NEED A SEASON 2  Best Anime I’ve Ever Seen Pacific Rim But With Waifus I loved everything about this Thank you creators! A masterpiece that will touch your feelings! One Phenomenal Anime I absolutely loved this show half of it is chill but half of it is not chill Great show Would recommend to everyone Such a Beautiful Mess Was way more invested than I thought I would be (in a good way) DARLING in the FRANXX surpasses all expectations The First Anime To Truly Make Me Tear Up An amazing 2 season please!!! Bring It Back For All Your Fans its just Awesome love it <3 910 will get you in your feels Why did it have to be this way A pretty good story tbh What on Earth  Or is it Great art solid characters okay story I enjoyed every part of it Thank you! One Interesting Ride This is actually a good anime enjoyable show but Masterpiece this show was lovely beyond words My best anime so far this year !!! Very enjoyable feelz train full of love cuddles onion cutting ninjas and yes mecha The best anime I have watched The Best Anime Ive Ever WatchedStrong knot with lose ends An interesting show that went downhill Great potential poor late story development The anime that touched my soul Worth Watching! but you may be left feeling like there is more to be desired Watch past episode 6 Pleasantly surprised An ok show couldve been better if it ended in a more predictable wayThe first half was great but then the second half happened First half is good goes downhill fast One of the best Anime I have ever watched Amazing and love how the story progresses Zero Two Need I say  More Trigger has done it again! Weve only scratched the surface with this show!Definetly in my top 50 anime Such a Great Show Must Watch! Dont overlook this because of the first few episodesIt creates an atmosphere of deep conflict and in between are some stunning visuals and fight scenes Deceptively amazing! An emotional journey Love this anime it is amazing and awesome Dont judge based on the mechaAlluring and lively Man I usually feel pretty certain whether I like a show or not but Darling in the Franxx has been all over the place one of the best animes ever imo Dont go on rAnimemes if you dont want this spoiledFantastic anime!!!!! A Slow Beautiful Unravelling Growing Connections without Knowledge Slow build but it picks up momentum Really great anime This Anime is Horrible This have a massive potential Anime Robot Relationships  Using Flower Terminology The unexpected favorite i just wanted to give it five stars Great mechascifi romance title Recommend watch for fans Mecha Best Girl and Action,0.3458140529863091,Positive Reviews
5,Monster Strike,155 Videos,https://www.crunchyroll.com/monster-strike,Unfulfilled plot premise Helps me fall asleep Dont Waste Your Time What is with all this CGI anime Worth it but only before the second season Too many plot holes! Good Premise Underwhelming Payoff Crap game into anime Great but still flawed anime Very very bad Animee Mediocre at best Even then on the worst side Time efficient for people Story is all over the place (No structure) Really great for a short anime! Confused anime that doesnt know what its supposed to beNEVER WATCH SEASON 2! First Impression of first episode Do not look at these reviews Good but short needs to be updated the series has a total of 51 episodes not 20! I watched the whole thing Nope terrible CGI is terrible this couldve been goodUnoriginal and very bad,-0.08057692307692307,Negative Reviews
6,The Ancient Magus' Bride,108 Videos,https://www.crunchyroll.com/the-ancient-magus-bride,i REALLY like this but a lot of you have the wrong idea of what it is Ghibli fans will love this one There is something magical about this anime This is an OVA full anime in October Great One Shot  Beware of Delays Best Anime of the Year Candidate! Good start looks like we have another great one I am deeply deeply in love with this Beautiful! Cant wait for the anime adaptation! Ancient Magus BrideWho in the World Gave This 13 stars A Wonderful Fantasy Show That Will Engulf Your Attention noteworthy fantasy drama ~ An AMAZING Anime ~ A visual novel and masterpiece A complete and total game changer for me A Surreal Masterpiece An Instant Classic A Review Of the Ancient Magus Bride Beautiful touching unique I lovee this anime more than I like to admit I wish there were more episodes Tbh the one anime that s worth your time A feast for your eyes Great Anime! Watch until episode 3 to decide! Anime of the Year Worthy Masterpiece Work of art and certainly not in a bad way Very entertaining however I love this anime its an instant classic I hope it never endsNot my typical anime genre but close enough My heart is broken Havent read the manga yet but Im really enjoying this Good but probably not for someone who hasnt read the mangaA Good Balance of Magic and Romance Amazing! Want more!! A pleasure to watch!!! Stunning anime series Very interesting and Different An absolutely magical journey Gorgeous Sad Dark Emotional I were moved every second of it! This anime gives you so many emotion Amazingsimply amazing best show in a long time Finished this in a Day!!! Very whimsical but sadder at times than wonderful A Beautiful Tear Jerker Magical Stunning and A Bit Unpredictable This was almost perfect Absolute Masterpiece! An absolute gem in the anime world!!! Such richness and depth into spirits magic and not just Japan #141 One of 2017s legendary animeThis is a Great Story Visually gorgeous and original story always impressed and left  wanting more beautiful to watch hard to leave Truly A Beautiful Anime Beautiful Series and Good Direction for Anime Empowering and Beautiful LOVE LOVE LOVE this anime Gorgeous from every angle STUNNING AND DEFINITELY WORTH THE WATCH A Fantasy Anime Yes But a Really Freaking Great One My new favorite anime The Ancient Magus Bride is jawdroppingPerfection In Everyway This anime is a treasure A Wonderfully Marvelous Show Amazing story and beautiful art! Beautiful to Watch and Listen Best Simulcast Currently Beautiful and heartwarming THIS ANIME IS ABSOLUTELY AMAZING! I just gotta say This Anime I recommend a lot to those who love fantasy type Anime! This Anime is Stunning in Every Way Amazing ;) Manga and Anime Masterpiece  One of my favourites A magical tale of love and lore Great story play Magus Bride A real 5 star anime! Beautiful Character Development! Absolutely brilliant I had a hard time getting into it but once I did I loved it Great show A Show That Scratches A Jaded Fans ItchAmazing show with endless potential Easily one of the best anime Ive seen in a long while If you dont love this anime see a doctorIts a beautiful show that draws you in! Stop reading reviews and watch this anime already!! Best Anime To End 2017!!!! Great Anime Beautiful Choices Great  and true adaptation of the manga Everything I need in my life right now! A Refreshing watch after years of waiting Beautiful & Dark (Spoiler free) This show is impeccable Best show of the season This Anime Is A Work Of Art Incredibly Deep And Beautiful Loving the new series of episodes,0.4765619107060869,Positive Reviews
7,ReLIFE,35 Videos,https://www.crunchyroll.com/relife,Ever feel like repeating a year in high school 1110: What a rollercoaster of emotions Not a single moment I didnt enjoyThe more I watched the better it got! Cant wait for moreI Assumed it Would Fail But it Shined Brightly A definite laugh out loud anime! Wonderful! Not a creepy harem anime A joy from start to finish It makes your heart go whoo! Amazing! Makes you wonder what youd do if you had ReLifeIncredible interesting engaging in every aspect My goodness this anime Surprisingly emotional Tragedy and Comedy done right Worth an afternoon sitting or 3 Repeating a year in highschool as your teenage self! It tells you the ending but its still devasting It was good show worth the watch What can I say  This is! Amazing! Avoids So Many Cliches! Finished watching the day I started watching! Surprisingly too good YASSSSSSSSSSSSSSS I LOVE THIS! Binge Worthy and Meaningful Profound funny sad and beautifull wonderfully executed story Anime characters you might actually meet someday Makes you appreciate your friends Speechless this anime is forever treasured in my heart So good i have trouble finding a good review title long enough so crunchyroll lets me post the review sadgfhgsdaDSASADSDASDADSADASASD Great for Your Lie In April Lovers At a complete loss for words Purely Inspirational Definite must watch and absolute must read for manga Surprisingly Really Good wow what a overflow of emotions Love this series! ReLife Better than anticipated Absolutely surpassed all expectations New episodes are just as satisfying as the original An emotional roller coaster of fun this is how an anime adaptation should be! Helpful Moral Lesson Perfect for Lighthearted Binging Can I Get a Sixth Star Excellent Series Highly Recommend Amazing anime! Suspected more of an ending though second chance at youth like OH MY GOD KISS ALREADY This show is AMAZING! Worth watching great story fun and serious when it needs to be ~ Warm Fun series ~ Very spot on with the visual novel Amazing and Beautifully sad This anime is worth the watch I Love it but if u dont like slight romance and tons of drama this is not your cup of teaAbsolutely incredible! Ever wish you could relive your youth Best Rollercoaster of Emotions Great Show! Really Liked it Truly Remarkable Anime!! Awesome anime Worth the watch One Of A Kind Anime! Really funny modern spin on high school slice of life Great manga great anime <Insert emotive title praising this anime> Omg one of the best anime in a while!! Great watch! Love stories! Rekindling of past regrets that turn into future prospects of hope! Really Good Check it out There Better Not Be A Single 1 Star Amazing cant wait for moreBinge Watched all Ep i wish i could relife this anime 1110 an amazing hidden gem! One of the best 1010 Flawless Masterpiece!!!! My man is the best!! Pushing 30 and circumstance caused a series of mishaps Worth the watch ReeeeeeeeeeeeeeeLIFE Such A ReLieving Anime Great well rounder anime I dont even know why but this was greatWell balanced comedy & drama Can I have a ReLife ReLife Anime Review Something spectacular Gr8 Animu u gunna cry If only this could happen It was Damn near perfect What a beautiful anime This will heal your soul One of the best animes Plot of a lifetime!! one of my favorite shows A great little drama! (Recommended) Shouldve gone fartherBe it dubbed or not! A Beautiful Piece of Art,0.4108594580675173,Positive Reviews
8,Eyeshield 21,145 Videos,https://www.crunchyroll.com/eyeshield-21,Definetly my favorite anime Eyeshieldo kun ichiban! okidoki!! this is what i think!! ^_^ I hope there are more episodes in the series EYESHIELD 21! The King of Sport Animes!! Possibly best American Football anime out there My Favorite Anime on Crunchyroll More like 35 really Simply Brilliant! In its own league! AWESOME!!! ( I hope they make another anime as this one!) whats holding anywaysTHE GRESTEST ANIME IN THE WORLD Cant say enough just Excellent I hate Football but I love this Anime! DO NOT PUT THIS OFF! Eyeshield 21  A very decent series Addictive and funny and addictive anime Not just another shonen I Cant Get It Out of My MindA solid show but it has its flaws Introducing Eyeshield 21! A classic you must see or PREFERABLY read The best rollercoaster ride ever! A Fun Wacky and Enjoyable Time One of the best anime ever! <3 Dragonball Z with a football Razelfraz cuz words dont describe the amount of awesomeness that is Eyeshield 21American Football + Super Powers Good Story and Characters; Bad Quantity to Quality Ratio The Best Anime I Ever Watch Never judge a book by it\s cover Same goes for this Anime!! Whats Gonna Happen Next4 out of 5 Must See Sports Anime Eyeshield 21 Review! Great show! would reccomend! An Underrated  Anime Run like the wind Eyeshield! One of the best sports anime that I have ever watched! Its Awesome One of my Favorite Anime Starts off strong but gets old FastI highly recommend this anime to any sport anime lover Recently this year Dont Have to Love Football to Love this AnimeOne of the best anime in existance Amazing a must watch Football in an Over the Top package Sports anime on its Best!I love it but I loved reading it more Best Sport Anime Ive Seen So Far! I dont watch football butI love Eyeshield 21!! Love this freaking show Loved Loved Loved this show!!! It Got Me Jogging and Working Out Eyeshield 21 Review~ImperfectAnge1 Really awesome sports show One of the first animes I watched THIS IS AWESOME!!!!! Leaves you feeling good Fantastic Anime that ends in the oddest place Love eyeshield 21 <3 The main character is very interesting!!!! Eyeshield 21  EPICNESS!!! Eyesheid 21 Is It Worth Watching The Best Sports Anime i love  Eyeshield 21 Eyeshield 21 Amazing the people that work hard <3 EYESHIELD 21! <3 A surprisingly good anime with comedy and character Eyeshield 21*Oh Yeah!* :) super cool anime!! im a girl and i love it A Stellar Series Cut Tragically Short Eye shield 21 review report Review for Eyeshield 21 by L_Lawliet1234 One of my favorite MangaAnime series This is nothing like real football Im an american who played american football in schoolYAHA! My Favorite Anime! Thanks for everything Sena Great Show this is a must watch!! Must Watch Anime 111 This Is  Great Anime Amazing Feel Good Anime Rising from the Ashes This is one of the best anime I watched!!! Japans take on American FootballEyeshield 21 Review A must see (JRW) Good for being the only football anime Best Sports Anime Yet! Yeah another review How long is it 145 episodes What’s it about American Football All of it Yes YAHA GO DEVIL BATS! Makes u want 2 play the sport eyeshield21 rules weeeeeeeee Great Show even for us who know nothing about American Fotball Best Sports Anime Out There Surprisingnly BetterMore Accurate Then I Expected Couldnt sit through it,0.5130537840136056,Very Positive Reviews
9,Demon King Daimao,12 Videos,https://www.crunchyroll.com/demon-king-daimao,Very Interesting so far! An interesting idea gone Meh Incomprehensible Expansionism with Nude Girls Story is confused on what it wants to be excellent at the beginning decent at the end Great concept Missed the ball Fanservice Fanservice and more Fanservice Short but Awesome!!! For an ecchi this is about as good as it gets The demons are out again! Good looking Barney Phife on steroids DEMON KING NARUTORASES VOICEDemon King Daimao YAHA ichiban ushiro no daimao generic demon king harem skip it I should have known better Generic to the last degree So much potential that wasnt utilizedVery interesting Great potential yet sadly disappointing Ehits decent I need to learn to look for the harem tag and start avoiding it Its good but god damn its confusingSciFi meets Fantasy Its a Hentaii trying to have a story The guy you wish you could be! 10 out of 5 STARS! One of the GREATEST all time EPIIX Adventures WATCH NOW!+++ Demons half naked chicks and huge battles says it all Demon whimp soon to be lover Excellent (even the ending no spoilers ) The Best Excuse for Satanism Ive Ever SeenMy simple review for Demon King Daimao Funny Entertaining Preachy This anime is mediocre at best Not a Complete Waste Not your typical harem type anime Short and sweet and just amazing Funny action packed time Demon King ending was MEH Not enough to sink my teeth in but nice visuals an exuberating experience that moves your heart GO GO Demon King Daimao YAAAAAAHAAAAAAA!!!!!!!!!!!!! High Priest I think not Demon King Daimao Review Ichiban Ushiro No Daimaou Demon King Daimo  Ichiban Ushiro no Dai Maō love the anime its the best ever Ichiban Ushiro No Daimaou Do you have a sense of humor Ichiban Ushirou ROCKS! This show is assssssssss dont watch I wanted a season 2 but noweh Anime with demon good guy and Harem added in Complete garbage!!!! Worth the time to watch Terrible (heres more characters for the title) Funny and Some nice ECCHI Dont take it seriousHarem you might enjoy for the laughs Was better than expected Great Characters Interesting Story  Falls a little short Best Anime Ever! (Well it could be longer) 0hMyDogo Review for Demon King Daimao Entertaining Show Despite Some Faults Wait what! Interesting Funny premise weird ending Typical Harem Filler Fun and Cheeky good watch The story is great!! good story bad harem Good but not as good as it could be Really satisfying anime If you ignore the fan service this is a eally good show Too much focus on ecchi undermines the story A good mix of action and comedy for an ecchi harem style of show Fantastic and Fun!!! Inticing anime great story Not super deep but fun An Amazing Anime!!!! Very Well interesting Show Worth watching till about halfway through this show has no limits Enjoyably Enjoyable  My review for Demon king Daimao Harem plot holes everywhere! This is a great anime! Surprisingly great anime Hilarious and full of action! Demon King Daimao DmC Rating: Anarchic! It is what it isntgoodPretty Good Anime Loved this Anime so much Fun But Falls Apart at the End \\(^0^) DEMOND KING DIAMAO Demon King Daimao  A Review Worth the watch!! Enjoyed the series AWESOME good time!!!,0.3723261408730158,Positive Reviews
